Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00 19471694     0.00     0.00  decode_packet(packet_t*, int, unsigned char const*)
  0.00      0.00     0.00 19471694     0.00     0.00  get_ipmac_from_ippkt(unsigned char const*, packet_t*)
  0.00      0.00     0.00  9026096     0.00     0.00  is_skip_port(unsigned short)
  0.00      0.00     0.00  8928689     0.00     0.00  is_dbPort(unsigned short)
  0.00      0.00     0.00  4486197     0.00     0.00  packet_filter(unsigned char*, packet_t*, int)
  0.00      0.00     0.00  4486197     0.00     0.00  setFlow(packet_t*)
  0.00      0.00     0.00   261105     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<unsigned int const, session_value>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*)
  0.00      0.00     0.00   179355     0.00     0.00  std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*)
  0.00      0.00     0.00   145183     0.00     0.00  std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end()
  0.00      0.00     0.00   143608     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned int const, session_value> >::_M_ptr()
  0.00      0.00     0.00   143608     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<unsigned int const, session_value> >::_M_addr()
  0.00      0.00     0.00   143608     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned int const, session_value> >::_M_valptr()
  0.00      0.00     0.00   135883     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, session_value>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      0.00     0.00   135883     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.00     0.00   135883     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      0.00     0.00   135876     0.00     0.00  std::hash<unsigned int>::operator()(unsigned int) const
  0.00      0.00     0.00   135876     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, session_value>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      0.00     0.00   135876     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned int>, true> const&)
  0.00      0.00     0.00   120406     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, session_value>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
